unit,control_area,station
R454,C015,PROSPECT AV
R406,R314,PROSPECT AV
R406,R315,PROSPECT AV
R196,B012,PROSPECT PARK
R196,B013,PROSPECT PARK
R140,N309A,QUEENS PLAZA
R140,N310,QUEENS PLAZA
R121,R509,QUEENSBORO PLZ
R438,N121B,RALPH AV
R227,A054,RECTOR ST
R227,A055,RECTOR ST
R304,R102,RECTOR ST
R304,R103,RECTOR ST
R439,N122,ROCKAWAY AV
R439,N123B,ROCKAWAY AV
R065,R629,ROCKAWAY AVE
R385,N134,ROCKAWAY BLVD
R385,N135,ROCKAWAY BLVD
R419,N187,ROCKAWAY PK 116
R152,H041,ROCKAWAY PKY
R018,N323,ROOSEVELT AVE
R018,N324,ROOSEVELT AVE
R259,N602,ROOSEVELT IS
R064,R628,SARATOGA AVE
R418,N186,SEASIDE-B 105
R402,K022,SENECA AV
R136,B027,SHEEPSHEAD BAY
R136,B028,SHEEPSHEAD BAY
R442,N127,SHEPHERD AV
R408,R317,SIMPSON ST
R408,R318,SIMPSON ST
R270,N536,SMITH/9 ST
R001,R101S,SOUTH FERRY
R282,N086,SPRING ST
R282,N087,SPRING ST
R322,R215,SPRING ST
R322,R216,SPRING ST
R245,R416,ST LAWRENCE AV
R070,S101,ST. GEORGE
R070,S101A,ST. GEORGE
R238,N314,STEINWAY ST
R238,N315,STEINWAY ST
R209,R636,STERLING ST
R151,G001,STILLWELL AV
R151,G009,STILLWELL AV
R336,N192,STRAITON AV
R128,N338,SUTPHIN BLVD
R128,N338B,SUTPHIN BLVD
R024,N605,SUTPHIN BLVD
R349,H037,SUTTER AV
R063,R627,SUTTER AVE
R541,PTH13,THIRTY ST
R541,PTH17,THIRTY THIRD ST
R165,S102,TOMPKINSVILLE
R154,N213,TREMONT AV
R542,PTH12,TWENTY THIRD ST
R231,C010,UNION ST
R231,C011,UNION ST
R158,N335,UNION TPK-KEW G
R158,N336,UNION TPK-KEW G
R153,N120,UTICA AV
R153,N120A,UTICA AV
R062,R625,UTICA AVE
R062,R626,UTICA AVE
R360,N401,VAN ALSTON-21ST
R434,J021,VAN SICLEN AV
R441,N126,VAN SICLEN AV
R068,R633,VAN SICLEN AVE
R255,N337,VAN WYCK BLVD
R276,R503,VERNON/JACKSON
R276,R504,VERNON/JACKSON
R276,R506,VERNON/JACKSON
R138,N080,W 4 ST-WASH SQ
R138,N083,W 4 ST-WASH SQ
R312,G011,W 8 ST-AQUARIUM
R312,G015,W 8 ST-AQUARIUM
R027,R110,WALL ST
R027,R111,WALL ST
R027,R112,WALL ST
R027,R112A,WALL ST
R043,R203,WALL ST
R043,R203A,WALL ST
R043,R204,WALL ST
R043,R204A,WALL ST
R091,R511,WASHINGTON-36 A
R358,N195,WAVECREST-B 25
R107,R420,WESTCHESTER SQ
R001,A058,WHITEHALL
R001,A060,WHITEHALL
R328,R532,WILLETS PT-SHEA
R328,R532H,WILLETS PT-SHEA
R295,H032,WILSON AV
R451,R637,WINTHROP ST
R006,J031,WOODHAVEN BLVD
R006,J032,WOODHAVEN BLVD
R201,N329,WOODHAVEN BLVD
R201,N329A,WOODHAVEN BLVD
R052,R294,WOODLAWN ROAD
R029,N094,WORLD TRADE CTR
R301,N530,YORK ST
R326,R419,ZEREGA AV
